NC,satisfactory_result,T0,max_iterations,alpha,eps,delta,i_final,final_J,final_D,target_D,final_T,elapsed_time,seed,
10,False,100.0,228,0.97,0.000001,1,228,-0.20953903285487532,3.6839920667001977,,8.744575691882714,10.00423288345337,9942,
10,True,100.0,228,0.97,0.000001,1,228,1.3272746008098983,3.124080022487008,,6.448461094653223,9.956477880477905,652,
10,True,100.0,228,0.97,0.000001,1,228,0.11090439468585737,2.568166421712987,,6.647898035724972,10.047689199447632,12473,
10,False,100.0,228,0.97,0.000001,1,228,3.253565735932058,6.604456090773275,,5.88533633264044,10.033942699432373,11568,
10,True,100.0,228,0.97,0.000001,1,228,0.41854431760927874,2.5826562429941107,,7.065467143931313,10.085610389709473,11509,
10,False,100.0,228,0.97,0.000001,1,228,1.3246306496148077,3.64311684049273,,12.225022422898743,9.89118504524231,745,
10,False,100.0,228,0.97,0.000001,1,228,0.3431026179852523,3.5639607983603065,,11.502523597705427,10.083270072937012,4698,
10,True,100.0,228,0.97,0.000001,1,228,0.434132640919179,3.3788816949784715,,6.647898035724972,9.955004453659058,8242,
10,False,100.0,228,0.97,0.000001,1,228,3.4838237910495873,5.117833228019635,,5.5375129553813895,10.026674270629883,2605,
10,False,100.0,228,0.97,0.000001,1,228,2.8237803117554354,5.716426346462551,,6.647898035724972,9.919136762619019,12693,
10,False,100.0,228,0.97,0.000001,1,228,3.3573579774380433,5.890019740893247,,6.853503129613373,9.932739734649658,10315,
10,True,100.0,228,0.97,0.000001,1,228,0.765831344128927,2.1191529031192466,,8.482238421126233,9.907654285430908,10219,
10,False,100.0,228,0.97,0.000001,1,228,4.76268473550406,8.766255074661688,,10.183101437903945,9.910731792449951,13520,
10,False,100.0,228,0.97,0.000001,1,228,1.952935972015576,5.22821156978384,,8.227771268492447,9.925565958023071,10108,
10,False,100.0,228,0.97,0.000001,1,228,4.263808844474961,5.833241991042316,,6.853503129613373,9.97426986694336,4298,
10,False,100.0,228,0.97,0.000001,1,228,0.00996722964288516,6.358802628556601,,8.227771268492447,9.832403421401978,5287,
10,False,100.0,228,0.97,0.000001,1,228,-0.3701529958056622,4.972565332779965,,7.065467143931313,9.751887559890747,1991,
